ID,Label,IsTerminal,URL
Zeenat_Aman,Zeenat Aman,False,
Mukesh Chhabra,Mukesh Chhabra,False,
Karan Kapoor,Karan Kapoor,False,
terminal_Karan Kapoor_Lorna_Kapoor,Lorna Kapoor,True,
Indrajit Nattoji,Indrajit Nattoji,False,
terminal_Indrajit Nattoji_Nandita_Nattoji,Nandita Nattoji,True,
Franz Osten,Franz Osten,False,
Amjad Khan (actor),Amjad Khan (actor),False,
terminal_Amjad Khan (actor)_Shehla_Khan,Shehla Khan,True,
Shadaab_Khan,Shadaab Khan,False,
Jayant_(actor),Jayant,False,
Imtiaz_Khan,Imtiaz Khan,False,
Akhtar_ul_Iman,Akhtar ul Iman,False,
Zafar_Karachiwala,Zafar Karachiwala,False,
Krish Jagarlamudi,Krish Jagarlamudi,False,
Yogesh Mittal,Yogesh Mittal,False,
terminal_Yogesh Mittal_Shilpa_Mittal_2013_present,Shilpa Mittal (2013 – present),True,
Surinder Kapoor,Surinder Kapoor,False,
terminal_Surinder Kapoor_Nirmal_Kapoor_m_1955,Nirmal Kapoor​(m.1955)​,True,
Boney_Kapoor,Boney Kapoor,False,
Anil_Kapoor,Anil Kapoor,False,
Sanjay_Kapoor,Sanjay Kapoor,False,
List_of_Hindi_film_families#Kapoor_family_(of_Surinder_Kapoor),Surinder Kapoor family,False,
Kalpana Lajmi,Kalpana Lajmi,False,
Lalita_Lajmi,Lalita Lajmi,False,
Atma_Ram_(director),Atma Ram,False,
Suneel Darshan,Suneel Darshan,False,
K. S. Prasad,K. S. Prasad,False,
Kapoor family,Kapoor family,False,
Sombhu Mitra,Sombhu Mitra,False,
Tripti_Mitra,Tripti Mitra,False,
Shaoli_Mitra,Shaoli Mitra,False,
Sanjay Gadhvi,Sanjay Gadhvi,False,
terminal_Sanjay Gadhvi_Gina,Gina,True,
Amitoj Maan,Amitoj Maan,False,
Sajid Nadiadwala,Sajid Nadiadwala,False,
Divya_Bharti,Divya Bharti,False,
Bhushan Patel,Bhushan Patel,False,
Pramod Chakravorty,Pramod Chakravorty,False,
Boney Kapoor,Boney Kapoor,False,
Mona_Shourie_Kapoor,Mona Shourie Kapoor,False,
Sridevi,Sridevi,False,
Arjun_Kapoor,Arjun,False,
Janhvi_Kapoor,Jahnvi,False,
Khushi_Kapoor,Khushi,False,
Surinder_Kapoor,Surinder Kapoor,False,
Pravin Bhatt,Pravin Bhatt,False,
Ravi Chopra,Ravi Chopra,False,
terminal_Ravi Chopra_Renu_Chopra_m_1975,Renu Chopra​(m.1975)​,True,
B.R._Chopra,B.R. Chopra,False,
List_of_Hindi_film_clans#Chopra_family,Chopra family,False,
Guru Dutt,Guru Dutt,False,
Geeta_Dutt,Geeta Ghosh Roy Chowdhuri,False,
Kalpana_Lajmi,Kalpana Lajmi,False,
Shyam_Benegal,Shyam Benegal,False,
Smilie Suri,Smilie Suri,False,
S. A. Chandrasekhar,S. A. Chandrasekhar,False,
Shoba_Chandrasekhar,Shoba Chandrasekhar,False,
Vijay_(actor),Vijay,False,
Vikranth,Vikranth,False,
S._N._Surendar,S. N. Surendar,False,
Kashinath (actor),Kashinath (actor),False,
terminal_Kashinath (actor)_Chandraprabha,Chandraprabha,True,
Aditya Raj Kapoor,Aditya Raj Kapoor,False,
terminal_Aditya Raj Kapoor_Priti_Kapoor_m_1982,Priti Kapoor​(m.1982)​,True,
Shammi_Kapoor,Shammi Kapoor,False,
Janhvi Kapoor,Janhvi Kapoor,False,
Babita,Babita,False,
Karisma_Kapoor,Karisma,False,
Kareena_Kapoor_Khan,Kareena,False,
Agathiyan,Agathiyan,False,
Vijayalakshmi_Agathiyan,Vijayalakshmi Agathiyan,False,
Niranjani_Ahathian,Niranjani Ahathian,False,
Thiru_(director),Thiru,False,
Ribhu Dasgupta,Ribhu Dasgupta,False,
Motilal (actor),Motilal (actor),False,
I. S. Johar,I. S. Johar,False,
Sonia_Sahni,Sonia Sahni,False,
terminal_I. S. Johar_and_three_others,and three other,True,
Kumari Naaz,Kumari Naaz,False,
Siddharth P. Malhotra,Siddharth P. Malhotra,False,
Prem_Kishen,Prem Kishen,False,
Prem_Nath,Prem Nath,False,
Rajendra_Nath,Rajendra Nath,False,
Narendra_Nath,Narendra Nath,False,
Ramkumar Bohra,Ramkumar Bohra,False,
terminal_Ramkumar Bohra_Madankumari_Bohra_m_1932_died_1991,Madankumari Bohra​​(m.1932; died 1991)​,True,
Karanvir_Bohra,Karanvir Bohra,False,
Abhishek Pathak,Abhishek Pathak,False,
Shivaleeka_Oberoi,Shivaleeka Oberoi Pathak,False,
terminal_Abhishek Pathak_Kumar_Mangat_Pathak_father,Kumar Mangat Pathak (father),True,
terminal_Abhishek Pathak_Neelam_Pathak_mother,Neelam Pathak (mother),True,
Amita_Pathak,Amita Pathak,False,
Khushi Kapoor,Khushi Kapoor,False,
Nabendu Ghosh,Nabendu Ghosh,False,
Harivansh Rai Bachchan,Harivansh Rai Bachchan,False,
Teji_Bachchan,Teji Bachchan,False,
Amitabh_Bachchan,Amitabh Bachchan,False,
Harsh Varrdhan Kapoor,Harsh Varrdhan Kapoor,False,
Udita Goswami,Udita Goswami,False,
Mohit_Suri,Mohit Suri,False,
Imtiaz Ali (director),Imtiaz Ali (director),False,
terminal_Imtiaz Ali (director)_Preety_Ali_m_1995,Preety Ali​(m.1995)​,True,
Khalid_Ahmed,Khalid Ahmed,False,
J. P. Dutta,J. P. Dutta,False,
Bindiya_Goswami,Bindiya Goswami,False,
Mahesh Bhatt,Mahesh Bhatt,False,
terminal_Mahesh Bhatt_Lorraine_Bright_m_1970,Lorraine Bright​(m.1970)​,True,
Soni_Razdan,Soni Razdan,False,
Nanabhai_Bhatt,Nanabhai Bhatt,False,
Ken Ghosh,Ken Ghosh,False,
Sujoy Ghosh,Sujoy Ghosh,False,
Saif Ali Khan,Saif Ali Khan,False,
Amrita_Singh,Amrita Singh,False,
Kareena_Kapoor,Kareena Kapoor,False,
Sara_Ali_Khan,Sara Ali Khan,False,
Ibrahim_Ali_Khan_(actor),Ibrahim Ali Khan,False,
Mansoor_Ali_Khan_Pataudi,Mansoor Ali Khan,False,
Sharmila_Tagore,Sharmila Tagore,False,
Anand family,Anand family,False,
